date,ST舍得,洋河股份,酒鬼酒,广誉远,*ST皇台,泸州老窖,水井坊,ST岩石,口子窖,古井贡酒,五粮液,青海春天,今世缘,迎驾贡酒,山西汾酒,顺鑫农业,青青稞酒,贵州茅台,金种子酒,老白干酒,伊力特
2020-06-11,9.068630303740866,5.126830303740865,26.280830303740867,8.75323030374087,-7.191069696259134,1.0073303037408654,6.290330303740866,-20.47106969625914,2.178630303740865,-10.809469696259134,2.310230303740865,-1.934369696259136,-1.3710696962591338,14.508330303740866,6.950630303740867,-0.24536969625913585,-5.973069696259134,-1.5154696962591343,-5.776269696259136,-0.5774696962591352,-1.0786696962591338
2020-06-12,9.00042549523418,6.128825495234181,27.256825495234175,4.809225495234184,-9.115474504765817,-0.5382745047658195,7.36272549523418,-24.287174504765822,0.7417254952341805,-10.864574504765821,2.0174254952341792,-4.306974504765821,-4.46807450476582,14.72642549523418,7.33932549523418,-2.6719745047658217,-7.05547450476582,-1.2793745047658198,-5.98527450476582,2.1426254952341792,8.71512549523418
2020-06-15,7.026093943649974,1.9310939436499732,30.47929394364997,8.866393943649973,-3.537206056350029,-2.059806056350028,5.538693943649973,-24.736306056350028,1.06159394364997,-10.585306056350028,0.6982939436499707,2.8029939436499705,-3.4482060563500285,14.571593943649974,7.885893943649972,1.7091939436499697,-2.6538060563500276,-0.5864060563500286,-2.3395060563500287,4.39519394364997,15.57849394364997
2020-06-16,10.493088469819721,-1.1280115301802782,36.53888846981972,10.280088469819724,-4.58991153018028,-2.521711530180279,7.050088469819721,-30.79991153018028,3.08678846981972,-11.613111530180278,-0.07341153018028002,1.7225884698197211,-3.5803115301802793,19.307188469819724,6.32888846981972,2.4472884698197195,-0.48801153018027854,-0.12191153018027934,1.3300884698197208,13.62908846981972,23.05458846981972
2020-06-17,10.643398889107393,-0.6135011108926083,35.516598889107385,8.72059888910739,-4.255001110892609,-1.744901110892608,5.090698889107394,-33.84280111089261,4.21149888910739,-12.118201110892606,-0.5036011108926097,4.65999888910739,-3.8192011108926076,19.734098889107393,6.509898889107391,3.0793988891073902,2.233898889107392,-0.07050111089260891,7.012298889107392,13.534898889107392,19.51239888910739
2020-06-18,10.918110974611551,2.015010974611552,28.415110974611547,-3.3361890253884487,-4.042389025388449,-0.9808890253884474,5.860010974611552,-31.42428902538845,3.968810974611551,-11.967089025388447,0.7498109746115503,2.503810974611552,-5.499089025388448,18.003610974611554,5.213110974611551,-2.6456890253884495,-0.37848902538844653,-0.4061890253884486,4.152310974611552,10.223110974611552,18.41341097461155
2020-06-19,8.890291088409123,0.786191088409123,27.221491088409124,-14.181208911590879,-9.831408911590877,-0.49390891159087646,7.8615910884091225,-38.15630891159088,2.931491088409121,-13.201308911590875,4.412191088409122,-4.8374089115908765,-6.149208911590876,18.583691088409125,6.767991088409123,-1.6272089115908774,0.8361910884091226,-1.5214089115908773,4.280291088409124,9.339191088409121,14.861491088409121
2020-06-22,14.728193926331942,-3.0062060736680585,31.59119392633194,-8.307006073668058,-6.824906073668059,0.06949392633194307,9.227293926331942,-34.54830607366805,3.74129392633194,-11.823406073668059,5.2649939263319405,-3.7984060736680565,-4.321806073668058,20.198193926331943,4.873693926331942,-2.2296060736680583,2.4907939263319445,-1.185806073668058,5.155093926331945,12.660693926331941,16.72889392633194
2020-06-23,17.2205219584335,-4.134378041566498,36.8754219584335,-8.3884780415665,-9.4908780415665,-0.09437804156649676,13.627321958433503,-31.048378041566494,-0.30197804156649877,-9.967078041566497,5.123721958433502,2.660521958433505,-4.811378041566498,21.4470219584335,3.4333219584335026,-7.224578041566499,2.041721958433503,-1.0252780415664975,12.363621958433502,12.997621958433504,23.2202219584335
2020-06-24,17.690327620357188,-6.012272379642812,35.308627620357186,-14.454272379642811,-9.962272379642812,-0.050572379642811596,15.255427620357189,-26.62177237964281,2.316327620357187,-8.262972379642813,6.143627620357188,-5.25857237964281,-2.5381723796428126,16.498627620357187,3.267927620357189,-6.489572379642812,-1.3524723796428093,0.14972762035718878,8.12762762035719,11.205127620357187,20.269627620357188
2020-06-29,19.52399273980655,-6.221107260193453,40.580092739806545,-17.24370726019345,-9.622307260193454,-1.229307260193452,13.810392739806547,-23.354007260193455,0.25059273980654595,-7.924107260193453,5.825292739806548,6.995992739806551,-0.643407260193452,5.690092739806547,5.787892739806548,-10.354807260193454,-1.1700072601934528,0.25769273980654794,8.618392739806549,14.816892739806546,21.93629273980655
2020-06-30,21.628282975019722,-5.947917024980279,49.733782975019714,-16.054817024980277,-8.75291702498028,-1.6434170249802782,13.540782975019722,-28.232617024980286,2.0627829750197213,-8.166017024980281,7.460182975019722,5.910382975019726,0.915382975019722,2.9392829750197214,4.613182975019723,-3.999217024980279,1.1883829750197232,-0.5742170249802779,10.075482975019725,22.11388297501972,23.27668297501972
2020-07-01,29.851033170970016,-2.0219668290299815,56.26463317097001,-12.101266829029981,-8.675266829029983,3.836533170970017,16.93783317097002,-28.786866829029986,6.0844331709700175,-0.5639668290299813,6.873433170970018,9.705833170970024,5.425733170970019,12.633933170970018,6.088633170970019,-1.284766829029983,7.734333170970019,-2.221666829029982,20.12243317097002,31.821533170970014,26.20913317097002
2020-07-02,22.454131915143318,5.576731915143318,47.23283191514331,-14.26366808485668,-13.023468084856683,8.095531915143315,12.428631915143317,-34.44516808485669,3.3228319151433157,2.990031915143317,6.538531915143317,2.445831915143321,2.3354319151433174,15.104031915143317,3.3817319151433174,-2.574868084856683,3.5900319151433173,-2.6226680848566835,22.505331915143323,28.283431915143314,16.790631915143322
2020-07-03,16.781220897210858,7.4141208972108625,38.922220897210856,-13.621779102789137,-13.26597910278914,10.88192089721086,10.579620897210862,-33.319679102789145,0.6788208972108594,-0.7928791027891395,6.223420897210861,0.19632089721086388,1.4254208972108615,11.674720897210861,0.4754208972108609,-5.200379102789141,-0.28207910278913895,-2.1994791027891396,19.026620897210865,23.979120897210855,16.684120897210864
2020-07-06,11.435807206680542,11.22680720668054,31.08580720668054,-11.34049279331946,-15.453992793319461,8.109207206680539,6.138007206680538,-33.547592793319474,-4.160492793319463,-2.8586927933194604,5.8224072066805395,-1.7792927933194556,-3.4430927933194586,9.02270720668054,-4.487392793319461,-10.338092793319461,-4.609992793319462,-1.2329927933194602,15.227507206680546,19.08820720668054,12.191007206680547
2020-07-07,6.628640260891416,6.272640260891416,28.115940260891414,-13.617859739108583,-18.723559739108588,2.8089402608914136,4.773140260891415,-34.67895973910859,-8.020059739108587,-3.514259739108586,6.476140260891414,-4.57225973910858,-3.9117597391085854,6.508140260891414,-5.458059739108586,-15.372959739108586,-4.199359739108587,-0.2106597391085856,22.39344026089142,19.822540260891415,5.381040260891417
2020-07-08,5.55264101992225,2.72074101992225,19.878641019922245,-11.528658980077749,-19.002458980077748,1.0262410199222496,3.590941019922249,-31.19025898007775,-9.604958980077754,-4.3552589800777515,6.60054101992225,-2.393758980077747,-4.991958980077751,5.289141019922248,-7.808558980077753,-12.872958980077751,-3.378958980077753,0.4421410199222483,24.757041019922255,21.243741019922243,7.417741019922252
2020-07-09,7.8601065732956314,1.773506573295633,28.75830657329563,-16.03639342670437,-19.481593426704364,3.7599065732956305,10.569706573295633,-34.20199342670437,-11.527793426704369,-2.824993426704368,5.053106573295633,-2.3706934267043644,-4.646093426704367,-1.6541934267043679,-7.0521934267043695,-13.924493426704368,-4.318893426704369,0.6865065732956318,22.56900657329564,18.79380657329563,13.412706573295635
